monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_id
0,0,0,0,0,0,1,20250622,20250629,34
0,0,0,0,0,0,1,20250622,20250629,597
0,0,0,0,0,0,1,20250622,20250629,604
0,0,0,0,0,0,1,20250622,20250629,769
0,0,0,0,0,0,1,20250622,20250629,822
0,0,0,0,0,0,1,20250622,20250629,857
0,0,0,0,0,0,1,20250622,20250629,915
0,0,0,0,0,0,1,20250622,20250630,107
0,0,0,0,0,0,1,20250622,20250706,588
0,0,0,0,0,0,1,20250622,20250713,400
0,0,0,0,0,0,1,20250622,20250713,637
0,0,0,0,0,0,1,20250622,20250713,721
0,0,0,0,0,0,1,20250622,20250720,134
0,0,0,0,0,0,1,20250622,20250720,161
0,0,0,0,0,0,1,20250622,20250720,438
0,0,0,0,0,0,1,20250622,20250720,591
0,0,0,0,0,0,1,20250622,20250720,615
0,0,0,0,0,0,1,20250622,20250720,663
0,0,0,0,0,0,1,20250622,20250720,719
0,0,0,0,0,0,1,20250622,20250720,75
0,0,0,0,0,0,1,20250622,20250720,85
0,0,0,0,0,0,1,20250622,20250722,330
0,0,0,0,0,0,1,20250622,20250722,671
0,0,0,0,0,0,1,20250628,20250713,549
0,0,0,0,0,0,1,20250628,20250720,729
0,0,0,0,0,0,1,20250629,20250706,119
0,0,0,0,0,0,1,20250629,20250713,361
0,0,0,0,0,0,1,20250629,20250713,372
0,0,0,0,0,0,1,20250629,20250713,60
0,0,0,0,0,0,1,20250629,20250720,720
0,0,0,0,0,0,1,20250629,20250721,152
0,0,0,0,0,0,1,20250705,20250720,476
0,0,0,0,0,0,1,20250706,20250713,725
0,0,0,0,0,0,1,20250706,20250720,310
0,0,0,0,0,0,1,20250706,20250720,353
0,0,0,0,0,0,1,20250706,20250720,771
0,0,0,0,0,0,1,20250712,20250720,419
0,0,0,0,0,0,1,20250713,20250720,475
0,0,0,0,0,0,1,20250713,20250720,791
0,0,0,0,0,1,0,20250622,20250705,79
0,0,0,0,0,1,0,20250622,20250719,623
0,0,0,0,0,1,0,20250627,20250705,44
0,0,0,0,0,1,0,20250627,20250719,231
0,0,0,0,0,1,0,20250628,20250705,815
0,0,0,0,0,1,0,20250628,20250706,761
0,0,0,0,0,1,0,20250628,20250712,241
0,0,0,0,0,1,0,20250628,20250712,450
0,0,0,0,0,1,0,20250628,20250719,391
0,0,0,0,0,1,0,20250628,20250719,46
0,0,0,0,0,1,0,20250628,20250719,483
0,0,0,0,0,1,0,20250628,20250719,868
0,0,0,0,0,1,0,20250705,20250712,212
0,0,0,0,0,1,0,20250705,20250714,441
0,0,0,0,0,1,0,20250705,20250719,174
0,0,0,0,0,1,0,20250705,20250719,449
0,0,0,0,0,1,0,20250705,20250722,318
0,0,0,0,0,1,0,20250710,20250719,153
0,0,0,0,0,1,0,20250712,20250719,296
0,0,0,0,0,1,0,20250712,20250719,72
0,0,0,0,0,1,1,20250622,20250628,571
0,0,0,0,0,1,1,20250622,20250628,633
0,0,0,0,0,1,1,20250622,20250629,389
0,0,0,0,0,1,1,20250622,20250705,905
0,0,0,0,0,1,1,20250622,20250706,322
0,0,0,0,0,1,1,20250622,20250713,370
0,0,0,0,0,1,1,20250622,20250719,859
0,0,0,0,0,1,1,20250622,20250720,146
0,0,0,0,0,1,1,20250622,20250720,184
0,0,0,0,0,1,1,20250622,20250720,409
0,0,0,0,0,1,1,20250622,20250720,566
0,0,0,0,0,1,1,20250622,20250720,664
0,0,0,0,0,1,1,20250622,20250720,715
0,0,0,0,0,1,1,20250622,20250720,722
0,0,0,0,0,1,1,20250622,20250720,907
0,0,0,0,0,1,1,20250622,20250720,921
0,0,0,0,0,1,1,20250627,20250706,583
0,0,0,0,0,1,1,20250627,20250709,488
0,0,0,0,0,1,1,20250628,20250629,589
0,0,0,0,0,1,1,20250628,20250705,757
0,0,0,0,0,1,1,20250628,20250706,471
0,0,0,0,0,1,1,20250628,20250712,435
0,0,0,0,0,1,1,20250628,20250713,470
0,0,0,0,0,1,1,20250628,20250713,700
0,0,0,0,0,1,1,20250628,20250719,718
0,0,0,0,0,1,1,20250628,20250720,13
0,0,0,0,0,1,1,20250628,20250720,17
0,0,0,0,0,1,1,20250628,20250720,244
0,0,0,0,0,1,1,20250628,20250720,550
0,0,0,0,0,1,1,20250629,20250720,514
0,0,0,0,0,1,1,20250705,20250706,776
0,0,0,0,0,1,1,20250705,20250712,468
0,0,0,0,0,1,1,20250705,20250713,626
0,0,0,0,0,1,1,20250705,20250720,699
0,0,0,0,0,1,1,20250706,20250712,398
0,0,0,0,0,1,1,20250706,20250720,379
0,0,0,0,0,1,1,20250706,20250720,388
0,0,0,0,0,1,1,20250711,20250720,297
0,0,0,0,0,1,1,20250712,20250713,742
0,0,0,0,0,1,1,20250712,20250719,530
0,0,0,0,0,1,1,20250712,20250720,289
0,0,0,0,0,1,1,20250712,20250720,852
0,0,0,0,0,1,1,20250713,20250720,581
0,0,0,0,0,1,1,20250713,20250720,63
0,0,0,0,0,1,1,20250719,20250720,829
0,0,0,0,1,0,0,20250622,20250711,686
0,0,0,0,1,0,0,20250627,20250704,931
0,0,0,0,1,0,0,20250627,20250711,573
0,0,0,0,1,0,0,20250627,20250718,158
0,0,0,0,1,0,0,20250627,20250718,23
0,0,0,0,1,0,0,20250704,20250711,182
0,0,0,0,1,0,0,20250704,20250718,97
0,0,0,0,1,0,0,20250711,20250718,293
0,0,0,0,1,0,1,20250622,20250627,540
0,0,0,0,1,0,1,20250622,20250627,832
0,0,0,0,1,0,1,20250622,20250713,734
0,0,0,0,1,0,1,20250622,20250720,274
0,0,0,0,1,0,1,20250622,20250720,716
0,0,0,0,1,0,1,20250627,20250629,465
0,0,0,0,1,0,1,20250629,20250704,474
0,0,0,0,1,0,1,20250629,20250720,249
0,0,0,0,1,0,1,20250704,20250706,425
0,0,0,0,1,0,1,20250704,20250720,638
0,0,0,0,1,0,1,20250718,20250720,712
0,0,0,0,1,1,0,20250626,20250704,228
0,0,0,0,1,1,0,20250626,20250712,321
0,0,0,0,1,1,0,20250627,20250628,208
0,0,0,0,1,1,0,20250627,20250704,260
0,0,0,0,1,1,0,20250627,20250705,705
0,0,0,0,1,1,0,20250627,20250719,665
0,0,0,0,1,1,0,20250627,20250719,918
0,0,0,0,1,1,0,20250628,20250705,577
0,0,0,0,1,1,0,20250628,20250719,354
0,0,0,0,1,1,0,20250704,20250705,847
0,0,0,0,1,1,0,20250704,20250711,411
0,0,0,0,1,1,0,20250704,20250712,265
0,0,0,0,1,1,0,20250705,20250719,569
0,0,0,0,1,1,0,20250705,20250719,580
0,0,0,0,1,1,0,20250711,20250712,272
0,0,0,0,1,1,0,20250711,20250719,73
0,0,0,0,1,1,0,20250711,20250719,872
0,0,0,0,1,1,0,20250718,20250719,234
0,0,0,0,1,1,1,20250622,20250628,681
0,0,0,0,1,1,1,20250622,20250704,770
0,0,0,0,1,1,1,20250627,20250629,132
0,0,0,0,1,1,1,20250628,20250704,397
0,0,0,0,1,1,1,20250628,20250705,227
0,0,0,0,1,1,1,20250628,20250706,827
0,0,0,0,1,1,1,20250628,20250720,737
0,0,0,0,1,1,1,20250704,20250706,175
0,0,0,0,1,1,1,20250704,20250720,88
0,0,0,0,1,1,1,20250711,20250713,105
0,0,0,0,1,1,1,20250711,20250720,110
0,0,0,0,1,1,1,20250713,20250720,445
0,0,0,1,0,0,0,20250622,20250703,235
0,0,0,1,0,0,0,20250626,20250717,531
0,0,0,1,0,0,0,20250703,20250717,496
0,0,0,1,0,0,1,20250622,20250703,380
0,0,0,1,0,0,1,20250626,20250629,100
0,0,0,1,0,0,1,20250629,20250703,206
0,0,0,1,0,0,1,20250706,20250710,676
0,0,0,1,0,1,0,20250626,20250628,437
0,0,0,1,0,1,0,20250626,20250628,689
0,0,0,1,0,1,0,20250703,20250705,129
0,0,0,1,0,1,0,20250705,20250719,286
0,0,0,1,0,1,0,20250717,20250719,10
0,0,0,1,0,1,1,20250622,20250629,112
0,0,0,1,1,0,0,20250626,20250627,70
0,0,0,1,1,0,0,20250627,20250703,578
0,0,0,1,1,0,0,20250703,20250704,8
0,0,0,1,1,0,0,20250710,20250711,422
0,0,0,1,1,0,0,20250710,20250718,362
0,0,0,1,1,0,0,20250711,20250718,816
0,0,0,1,1,0,0,20250717,20250718,90
0,0,0,1,1,0,1,20250622,20250629,446
0,0,0,1,1,1,0,20250623,20250703,76
0,0,0,1,1,1,0,20250626,20250719,429
0,0,0,1,1,1,0,20250703,20250705,490
0,0,0,1,1,1,0,20250710,20250712,338
0,0,0,1,1,1,0,20250717,20250719,221
0,0,0,1,1,1,1,20250703,20250706,319
0,0,0,1,1,1,1,20250706,20250722,374
0,0,0,1,1,1,1,20250707,20250720,350
0,0,0,1,1,1,1,20250713,20250720,922
0,0,1,0,0,0,0,20250702,20250716,407
0,0,1,0,0,0,1,20250622,20250702,453
0,0,1,0,0,0,1,20250629,20250702,385
0,0,1,0,0,0,1,20250702,20250706,178
0,0,1,0,1,0,0,20250625,20250627,261
0,0,1,0,1,0,0,20250702,20250704,723
0,0,1,0,1,0,0,20250709,20250711,99
0,0,1,1,0,0,0,20250625,20250626,233
0,0,1,1,0,0,0,20250625,20250626,795
0,0,1,1,0,0,0,20250702,20250703,692
0,0,1,1,0,0,0,20250709,20250710,574
0,0,1,1,1,0,0,20250625,20250627,26
0,0,1,1,1,0,0,20250702,20250704,772
0,0,1,1,1,0,0,20250709,20250711,223
0,0,1,1,1,0,1,20250702,20250720,155
0,0,1,1,1,1,0,20250623,20250704,603
0,0,1,1,1,1,0,20250625,20250628,35
0,0,1,1,1,1,0,20250709,20250719,285
0,0,1,1,1,1,1,20250629,20250722,612
0,0,1,1,1,1,1,20250716,20250720,647
0,1,0,0,0,0,1,20250622,20250624,644
0,1,0,0,1,0,0,20250624,20250627,159
0,1,0,1,0,0,0,20250624,20250626,193
0,1,0,1,0,0,0,20250624,20250626,201
0,1,0,1,0,0,0,20250624,20250626,283
0,1,0,1,0,0,0,20250624,20250626,493
0,1,0,1,0,0,0,20250701,20250703,803
0,1,0,1,0,0,0,20250701,20250722,876
0,1,0,1,0,0,0,20250715,20250717,121
0,1,0,1,0,1,0,20250708,20250712,200
0,1,0,1,0,1,0,20250708,20250712,366
0,1,0,1,0,1,1,20250719,20250721,443
0,1,0,1,1,0,0,20250624,20250627,440
0,1,0,1,1,0,0,20250624,20250722,213
0,1,0,1,1,0,0,20250708,20250722,214
0,1,0,1,1,0,1,20250622,20250703,86
0,1,0,1,1,0,1,20250629,20250706,242
0,1,0,1,1,1,0,20250708,20250712,662
0,1,0,1,1,1,1,20250622,20250704,9
0,1,0,1,1,1,1,20250622,20250722,237
0,1,1,0,0,0,0,20250624,20250625,150
0,1,1,0,0,0,0,20250624,20250625,356
0,1,1,0,0,0,0,20250624,20250625,43
0,1,1,0,0,0,0,20250624,20250701,109
0,1,1,0,0,0,0,20250701,20250702,594
0,1,1,0,0,0,0,20250701,20250716,684
0,1,1,0,0,0,0,20250702,20250708,877
0,1,1,0,0,0,0,20250708,20250709,404
0,1,1,0,0,0,0,20250715,20250716,405
0,1,1,0,0,0,1,20250622,20250625,558
0,1,1,0,0,1,0,20250712,20250716,904
0,1,1,0,1,0,0,20250715,20250718,82
0,1,1,0,1,0,1,20250622,20250704,565
0,1,1,0,1,0,1,20250706,20250722,24
0,1,1,0,1,1,1,20250624,20250629,136
0,1,1,1,0,0,0,20250624,20250626,116
0,1,1,1,0,0,0,20250624,20250626,163
0,1,1,1,0,0,0,20250624,20250626,210
0,1,1,1,0,0,0,20250624,20250722,172
0,1,1,1,0,0,0,20250626,20250703,393
0,1,1,1,0,0,0,20250701,20250703,140
0,1,1,1,0,0,0,20250701,20250703,608
0,1,1,1,0,0,0,20250708,20250710,908
0,1,1,1,0,0,0,20250711,20250722,138
0,1,1,1,0,0,0,20250715,20250717,162
0,1,1,1,0,0,1,20250622,20250626,846
0,1,1,1,0,0,1,20250629,20250703,56
0,1,1,1,0,0,1,20250629,20250710,741
0,1,1,1,0,1,0,20250624,20250628,420
0,1,1,1,1,0,0,20250622,20250704,295
0,1,1,1,1,0,0,20250622,20250705,460
0,1,1,1,1,0,0,20250624,20250627,145
0,1,1,1,1,0,0,20250624,20250627,917
0,1,1,1,1,0,0,20250624,20250703,788
0,1,1,1,1,0,0,20250624,20250722,673
0,1,1,1,1,0,0,20250624,20250722,893
0,1,1,1,1,0,0,20250627,20250711,851
0,1,1,1,1,0,0,20250701,20250704,897
0,1,1,1,1,0,0,20250701,20250722,732
0,1,1,1,1,0,0,20250708,20250711,687
0,1,1,1,1,0,0,20250708,20250722,360
0,1,1,1,1,0,0,20250709,20250722,536
0,1,1,1,1,0,0,20250715,20250722,368
0,1,1,1,1,0,1,20250622,20250627,618
0,1,1,1,1,0,1,20250622,20250704,386
0,1,1,1,1,0,1,20250622,20250705,938
0,1,1,1,1,0,1,20250625,20250722,925
0,1,1,1,1,1,0,20250624,20250628,552
0,1,1,1,1,1,0,20250624,20250722,377
0,1,1,1,1,1,0,20250628,20250705,707
0,1,1,1,1,1,0,20250701,20250705,5
0,1,1,1,1,1,0,20250715,20250719,133
0,1,1,1,1,1,0,20250719,20250722,117
0,1,1,1,1,1,1,20250622,20250704,81
0,1,1,1,1,1,1,20250622,20250704,874
0,1,1,1,1,1,1,20250622,20250705,250
0,1,1,1,1,1,1,20250624,20250629,45
0,1,1,1,1,1,1,20250627,20250711,800
0,1,1,1,1,1,1,20250628,20250706,308
0,1,1,1,1,1,1,20250701,20250711,149
0,1,1,1,1,1,1,20250712,20250722,863
0,1,1,1,1,1,1,20250715,20250722,309
1,0,0,0,0,0,0,20250623,20250630,294
1,0,0,0,0,0,0,20250623,20250702,472
1,0,0,0,0,0,0,20250623,20250714,381
1,0,0,0,0,0,0,20250623,20250721,131
1,0,0,0,0,0,0,20250623,20250721,562
1,0,0,0,0,0,0,20250630,20250707,62
1,0,0,0,0,0,0,20250630,20250714,290
1,0,0,0,0,0,0,20250707,20250714,207
1,0,0,0,0,0,0,20250707,20250721,303
1,0,0,0,0,0,0,20250714,20250721,199
1,0,0,0,0,0,0,20250714,20250721,794
1,0,0,0,0,0,1,20250622,20250623,628
1,0,0,0,0,0,1,20250622,20250721,551
